Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
!       14.51    101  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\
         0.81     36  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\about
         2.42     43  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aquifer
         1.16    163  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aquifer\DLFBoard1005_files
         3.17     33  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aquifer\oct2504
         0.91      9  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aquifer\oct2504\reports
         0.02      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aquifer\registry
         0.93     37  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures
         0.56      9  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\instreg
         0.17     30  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\instreg\inst_registry-overview_files
         0.13     40  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\instreg\JISC-Registryworkshop_files
         0.12      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai
         0.32      9  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004
         4.52     19  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training
         0.76     53  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training\habing-train1105_files
         0.58     59  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training\hagedorn-train1105_files
         0.76     53  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training\OAITools_files
         1.52     76  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training\ShareableMetadata_files
         1.52     76  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training\shreeves-train1105_files
         1.22     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\oai\imls2004\training2
         0.53     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\serviceframe
         0.27     57  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\serviceframe\dlfserviceframe_files
         0.02      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\architectures\tools
         1.65     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archive
         0.53    286  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archive\images
         1.75     26  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old
         1.38     26  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-ANNOUNCE
         2.60     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-AQUIFER
         0.01      6  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-AQUIFER-IMPLEMENT
!        5.91     18  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-AQUIFER-METADATA
!        8.71     16  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-AQUIFER-SERVICES
         0.78     16  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-AQUIFER-TECH
         0.43     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-DEVELOPERS
         2.31     20  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-FRAMEWORK
         0.31     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-IMLSOAI
         4.23     18  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-IMLSOAI-PI
!        6.36     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-STEERCOMM
         0.19     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\DLF-TEI
         0.55    289  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\archives-old\images
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aspnet_client
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aspnet_client\system_web
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\aspnet_client\system_web\2_0_50727
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer
         0.11      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\aquifercollections
         0.09      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\aquifercollections102293
         0.19      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\aquifercollections5
